handle,product_gid,status,type,title,proposed_vendor,confidence,evidence,action
chardonnay-white-wine,gid://shopify/Product/1338371833960,ACTIVE,wine,"Mas La Chevalière, Chardonnay IGP Pays d'Oc 70cl",Mas La Chevalière,high,estate,PUSHED
charles-heidsieck-champagne-charlie-cellared-2017,gid://shopify/Product/7699399966876,DRAFT,champagne,"Charles Heidsieck, Champagne Charlie Cellared 2017 75cl",Charles Heidsieck,high,known-brand,PUSHED
chassagne-montrachet-bachelet-monnot-2020,gid://shopify/Product/7986648744092,ACTIVE,wine,Chassagne Montrachet Bachelet Monnot 2020,Bachelet Monnot,high,corroborated x2,PUSHED
chassagne-montrachet-joseph-drouhin-half-2018,gid://shopify/Product/7987711148188,ACTIVE,wine,Chassagne Montrachet Joseph Drouhin Half 2018,Joseph Drouhin,high,corroborated x2,PUSHED
chassagne-montracheta-bachelet-monnot-2021,gid://shopify/Product/7969402060956,ARCHIVED,wine,Chassagne Montrachet Bachelet Monnot 2021,Bachelet Monnot,high,corroborated x2,PUSHED
chateau-de-fargues-lur-saluces-semillon-sauvignon-blanc-2005,gid://shopify/Product/8222608621724,ACTIVE,wine,Château de Fargues Lur Saluces Semillon-Sauvignon Blanc 2005,Château de Fargues Lur Saluces Semillon-Sauvignon,high,estate,PUSHED
chateau-de-sarenceau-saint-emilion-2005,gid://shopify/Product/7842022686876,DRAFT,wine,Chateau de Sarenceau Saint Emilion 2005,Chateau de Sarenceau,high,estate,PUSHED
chateau-du-domaine-de-l-eglise-pomerol-2019-75cl,gid://shopify/Product/15274254500215,ACTIVE,wine,Château du Domaine de L’Eglise Pomerol 2019 – 75cl,Château du Domaine de L’Eglise,high,estate,PUSHED
chateau-fuisse-le-clos-chardonnay-2021-75cl,gid://shopify/Product/8204455346332,ACTIVE,wine,Château Fuissé Le clos Chardonnay 2021 (75cl),Château Fuissé,high,estate,PUSHED
chateau-haut-brion-bordeaux-blend-1998,gid://shopify/Product/8222538432668,ACTIVE,wine,Chateau Haut-Brion Bordeaux-Blend 1998,Chateau Haut-Brion Bordeaux-Blend,high,estate,PUSHED
chateau-le-crock-saint-estephe-2017,gid://shopify/Product/7712053788828,ACTIVE,wine,"Château Le Crock, Saint-Estèphe-2017 75cl",Château Le Crock,high,estate,PUSHED
chateau-les-eyquem-margaux-2021,gid://shopify/Product/7482392510620,ACTIVE,wine,Château les Eyquem Margaux 2021,Château les Eyquem,high,estate,PUSHED
chateau-les-maurins-bordeaux,gid://shopify/Product/4365698105481,ACTIVE,wine,Château Les Maurins Bordeaux 75cl,Château Les Maurins,high,estate,PUSHED
chateau-margaux-2001,gid://shopify/Product/8203077615772,ACTIVE,wine,Château Margaux 2001 (3L),Château,high,estate,PUSHED
chateau-pontac-lynch-margaux,gid://shopify/Product/7483221803164,DRAFT,wine,Chateau Pontac Lynch Margaux 75cl,Chateau Pontac Lynch,high,estate,PUSHED
chateau-ste-michelle-cabernet-sauvignon,gid://shopify/Product/7672857231516,ACTIVE,wine,Chateau Ste Michelle Cabernet Sauvignon 75cl,Chateau Ste Michelle,high,estate,PUSHED
chateau-tanunda-limited-release-shiraz-2018,gid://shopify/Product/7186301485212,DRAFT,wine,Chateau Tanunda limited release Shiraz 2018 (Magnum),Chateau Tanunda,high,estate,PUSHED
chateau-troplong-mondot-2005-75cl,gid://shopify/Product/7986686623900,ARCHIVED,wine,Chateau Troplong Mondot 2005,Château Troplong Mondot,high,known-brand,PUSHED
clos-de-tart-grand-cru-monopole-2012-75cl,gid://shopify/Product/8203265015964,ACTIVE,wine,Clos De Tart Grand Cru Monopole 2012 (75cl),Clos De Tart,high,estate,PUSHED
clos-du-marquis-half-2019,gid://shopify/Product/7975717273756,ACTIVE,wine,Clos du Marquis Half 2019,Clos du Marquis,high,estate,PUSHED
clos-st-andre-chateauneuf-du-pape,gid://shopify/Product/7829636907164,ACTIVE,wine,Clos St Andre Chateauneuf du Pape 75cl,Clos St Andre,high,estate,PUSHED
