product_id,handle,title,blocks_removed
7616814612636,,Henriot Blanc de Blancs NV Champagne 75cl,1
7616829948060,,Louis Roederer 2016 rosé champagne 75cl,1
7616838828188,,Moët & Chandon Ice Impérial NV Rosé champagne 75cl,1
7618317942940,,Pommery Brut Apanage champagne 75cl,1
7618320990364,,Henriot Brut Rosé NV Champagne 75cl,1
7618324037788,,Deutz Classic Brut NV champagne 75cl,1
7618324070556,,Deutz Brut rosé champagne 75cl,1
7661272105116,,Toki Suntory Whisky 70cl,1
7663219638428,,Chivas Regal 13 Year Extra Whisky 70cl,1
7664189309084,,Chivas Regal 25 Year Whisky 70cl,1
7664192520348,,Chivas Regal XV Blended Scotch Whisky 70cl,1
7664194683036,,"Jameson Irish Whiskey, 1L",1
7664195567772,,Jameson 4.5L Triple Distilled Irish Whiskey,1
7664196878492,,Chivas Regal 12 Year Mizunara Whisky 70cl,1
7664457187484,,Chivas Regal 4.5L 12 Year Old Blended Scotch Whisky,1
7664462168220,,"Roberto Cavalli Watermelon Vodka, 1L",1
7664467837084,,Haku Vodka 70cl,1
7664873865372,,Hibiki Harmony Japanese Whisky 70cl,1
7664875962524,,Hakushu 12 Year Japanese Whisky 70cl,1
7664877142172,,Hakushu Distillers Reserve Japanese Whisky 70cl,1
7664879468700,,Tenjaku Pure Malt Japanese Whisky 70cl,1
7664881172636,,The Kurayoshi 12 Year Whisky 70cl,1
7664882909340,,"Casa Marzoni Appassimento 2021, 75cl",1
7666227839132,,"Chateau de Pouilly Fuissé 2022, 75cl",1
7666551095452,,"Chateau Teyssier Montagne Saint-Emilion 2018, 75cl",1
7666570035356,,"Michel Rolland's Argentina Red Clos De Los Siete 2019, 75cl",1
7666917343388,,"Château Grand Corbin Manuel St-Émilion Grand Cru, 75cl",1
7667897761948,,"Masi Costasera Amarone Classico 2019, 75cl",1
7667907035292,,"Château Batailley Pauillac Grand Cru Classé 2016, 75cl",1
7668097056924,,Laurent Perrier Cuvée Rosé magnum 1.5L,1
7668105609372,,Champagne Laurent Perrier La Cuvée  Magnum 1.5L,1
7668110327964,,Krug Vintage 2002 Magnum 1.5L,1
7668256866460,,Veuve Clicquot Vintage 2002 Magnum 1.5L,1
7669606809756,,Moët & Chandon Nectar Impérial Rosé Dry Magnum 1.5L,1
7669647081628,,Armand de Brignac Brut Rosé Magnum 1.5L,1
7670201680028,,Armand de Brignac Brut Gold Magnum 1.5L,1
7671579803804,,Moët & Chandon Champagne Brut Rosé Magnum 1.5L,1
