handle,title,products,image_url,alt_text
laurent-perrier-champagne,Laurent-Perrier Champagne,17,https://cdn.shopify.com/s/files/1/1624/5203/collections/laurent_perrier_rose_bamboo_robe.webp?v=1789732022,Laurent-Perrier Champagne
liquor,Liquor Delivery in London,374,https://cdn.shopify.com/s/files/1/1624/5203/collections/pexels-photo-616836_1_1_7454b7fd-e8a1-4593-801d-16e5a0a2b826.jpg?v=1656665332,Bottle and glass of bourbon whiskey 
loire-valley,Loire Valley,6,https://cdn.shopify.com/s/files/1/1624/5203/collections/DomainedesSablesVerts_Glouglou_Saumur-Champigny2020.jpg?v=1789732024,Loire Valley
louis-roederer-champagne,Louis Roederer Champagne,10,https://cdn.shopify.com/s/files/1/1624/5203/collections/mcs7ix2zs56u3-vs6gor4a_pb_x600_7d41822e-6d8b-431d-80f5-fe1d8b887c6f.jpg?v=1789732025,Louis Roederer Champagne
luxury-champagne-250,Luxury Champagne £250+,144,https://cdn.shopify.com/s/files/1/1624/5203/collections/ruinart-blanc-de-blanc-nv-champagne-75cl-12-abv_temp.webp?v=1789731670,Luxury Champagne £250+
macallan-whisky,Macallan Whisky,25,https://cdn.shopify.com/s/files/1/1624/5203/collections/Macallan-12_Year_Old_Sherry_Oak.jpg?v=1789732027,Macallan Whisky
malbec-wine,Malbec Wine,3,https://cdn.shopify.com/s/files/1/1624/5203/collections/ALHAPPELLATIONParajeAltamiraMalbec2019__250x500_5e235db9-ffa1-4e46-a266-dcfa061158fa.jpg?v=1789732028,Malbec Wine
marlborough,Marlborough,6,https://cdn.shopify.com/s/files/1/1624/5203/collections/KimCrawford_MarlboroughSauvignonBlanc2021.png?v=1789732029,Marlborough
medoc,Médoc,50,https://cdn.shopify.com/s/files/1/1624/5203/collections/0_0_orig.jpg?v=1789731791,Médoc Wine
mendoza,Wines from Mendoza,4,https://cdn.shopify.com/s/files/1/1624/5203/collections/367385011_0_640x640_3eb73c40-215e-4503-9625-e027e375430b.jpg?v=1789732031,Wines from Mendoza
mercier-champagne,Mercier Champagne,3,https://cdn.shopify.com/s/files/1/1624/5203/collections/mercier-brut-champagne-75cl.jpg?v=1789732032,Mercier Champagne
merlot-wine-delivery,Merlot Wine,33,https://cdn.shopify.com/s/files/1/1624/5203/collections/Chateau-Haut-Blanville-Merlot-Pays-dOc.jpg?v=1789732034,Merlot Wine
mezcal,Mezcal,11,https://cdn.shopify.com/s/files/1/1624/5203/collections/ilegal-mezcal-joven.jpg?v=1789732035,Mezcal
mixers,Soft Drinks & Mixers,30,https://cdn.shopify.com/s/files/1/1624/5203/collections/pexels-photo-340996_1.jpg?v=1785989691,alcohol and mixer delivery in london
moet-chandon-champagne,Moët & Chandon Champagne,19,https://cdn.shopify.com/s/files/1/1624/5203/collections/MoetGrandvintage2015champagne.jpg?v=1789732037,Moët & Chandon Champagne
montrachet-wine-gifts,Montrachet Wine Gifts,32,https://cdn.shopify.com/s/files/1/1624/5203/collections/ChassagneMontrachetABacheletMonnot2020.jpg?v=1789732039,Montrachet Wine Gifts
mother-s-day-gifts,Mother’s Day Gifts,81,https://cdn.shopify.com/s/files/1/1624/5203/collections/pinkchampagnetruffle.jpg?v=1789731736,Mother’s Day Gifts
multi-vintage-wine,Multi-Vintage Wine,3,https://cdn.shopify.com/s/files/1/1624/5203/collections/Nyetimber-Classic-Cuvee.jpg?v=1789732067,Multi-Vintage Wine
mushrooms-supplements,Mushrooms & Supplements,10,https://cdn.shopify.com/s/files/1/1624/5203/collections/image_3.jpg?v=1741233012,Mushrooms boosting immunity & longevity 
napa-valley,Napa Valley,7,https://cdn.shopify.com/s/files/1/1624/5203/collections/OpusOne2019.jpg?v=1789732069,Napa Valley
nebbiolo,Nebbiolo,5,https://cdn.shopify.com/s/files/1/1624/5203/collections/gaja-barbaresco-2019-magnum-15l.webp?v=1789732070,Nebbiolo
non-alcoholic-gifts,Non-Alcoholic Gifts,8,https://cdn.shopify.com/s/files/1/1624/5203/collections/French-Bloom_Le_Rose_Alcohol_Free.png?v=1789732072,Non-Alcoholic Gifts
non-vintage-wine,Non-Vintage Wine,64,https://cdn.shopify.com/s/files/1/1624/5203/collections/Charbonnel-et_walker_dark_sea_salt_Truffle_chocolate.jpg?v=1789731777,Non-Vintage Wine
patron-tequila,Patron Tequila,10,https://cdn.shopify.com/s/files/1/1624/5203/collections/patron-silver-tequila-proof-80-750-ml.jpg?v=1789732074,Patrón Tequila
