product_id,title,brand,derivation
1967357722686,Chivas Regal 12 Years,Chivas Regal,curated
7663219638428,Chivas Regal 13 Year Extra Whisky 70cl,Chivas Regal,curated
7473506615452,Chivas Regal 18 Year Old Blended Scotch Whisky,Chivas Regal,curated
7664189309084,Chivas Regal 25 Year Whisky 70cl,Chivas Regal,curated
7664457187484,Chivas Regal 4.5L 12 Year Old Blended Scotch Whisky,Chivas Regal,curated
7664192520348,Chivas Regal XV Blended Scotch Whisky 70cl,Chivas Regal,curated
7667907035292,"Château Batailley Pauillac Grand Cru Classé 2016, 75cl",Château Batailley,estate
7808555352220,"Chateau Beau-Sejour Becot 2018, 75cl",Château Beau-Sejour Becot,estate
7710856478876,"Château Capet-Guillier, Saint-Émilion Grand Cru-2017 75cl",Château Capet-Guillier,estate
15421586637175,Chateau Cos d'Estournel St Estephe GCC 2021,Château Cos d'Estournel,manual
7480612323484,Chateau d’Esclans Whispering Angel Rose 75cl,Château d'Esclans,curated
15519028707703,Chateau d’Esclans Whispering Angel Rose Magnum(1.5L),Château d'Esclans,curated
15363786408311,Château d'Esclans Estate Rosé 2022 - 75cl,Château d'Esclans,curated
7842038677660,Chateau Figeac from Saint Emilion 2015,Château Figeac,estate
15395932242295,Château Giscours Margaux 2023 (Kosher) 75cl,Château Giscours,estate
15419401634167,Chateau Labegorce Margaux 2022,Château Labegorce,estate
15419446755703,Chateau Lafite Rothschild Premier GCC 2020,Château Lafite Rothschild,estate
7712034160796,"Château Lamothe-Bouscaut, Pessac-Léognan Blanc-2019 75cl",Château Lamothe-Bouscaut,estate
7712042090652,"Château Lamothe-Bouscaut, Pessac-Léognan-2018 75cl",Château Lamothe-Bouscaut,estate
7483208368284,"Château Larose Trintaudon, Haut-Médoc 75cl",Château Larose Trintaudon,estate
7841398292636,"Chateau Latour 2008, 75cl",Château Latour,estate
15419807236471,Chateau Latour Grand Cru Classe 2016,Château Latour,estate
8052789608604,Chateau Latour Les Forts de Latour 2000,Château Latour,manual
8025648595100,Château Macaron Wedding Cake,Château Macaron,manual
7483237367964,"Château Mahon-Laville, Bordeaux Supérieur 75cl",Château Mahon-Laville,estate
15419442069879,Chateau Marquis D'Alesme Margaux GCC 2019,Château Marquis D'Alesme,estate
7712140624028,"Château Montgrand-Milon, Pauillac-2016 75cl",Château Montgrand-Milon,estate
8054861856924,Château Montrose Jeroboam 2019 (3L),Château Montrose,estate
7711764971676,"Château Mouras, Graves-2018 75cl",Château Mouras,estate
7716486676636,Château Mouton Rothschild 1982,Château Mouton Rothschild,estate
7716494573724,Château Mouton Rothschild 1985,Château Mouton Rothschild,estate
7716500275356,Château Mouton Rothschild 1998,Château Mouton Rothschild,estate
7716503847068,Château Mouton Rothschild 2000,Château Mouton Rothschild,estate
7716510564508,Château Mouton Rothschild 2001,Château Mouton Rothschild,estate
7716567187612,Château Mouton Rothschild 2008 75cl,Château Mouton Rothschild,estate
